States,Gemma 2 2B Instruct,Gemma 2 9B Instruct,Llama 2 7B Chat,Llama 3.1 8B Instruct,Llama 3.2 1B Instruct,Llama 3.2 3B Instruct,Mistral 7BInstruct v0.3
Andhra Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Assam,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bihar,0.00,0.00,0.00,0.00,0.00,0.00,0.17
Chhattisgarh,0.00,0.00,0.00,0.00,0.33,0.00,0.00
Goa,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gujarat,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Haryana,0.00,0.00,0.00,0.17,0.00,0.00,0.00
Himachal Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jharkhand,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Karnataka,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kerala,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Madhya Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maharashtra,0.00,0.00,0.00,0.17,0.00,0.00,0.17
Manipur,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Meghalaya,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mizoram,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nagaland,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Odisha,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Punjab,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rajasthan,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sikkim,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tamil Nadu,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Telangana,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tripura,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uttarakhand,0.00,0.00,0.00,0.17,0.00,0.00,0.00
Uttar Pradesh,0.00,0.00,0.00,0.17,0.00,0.00,0.00
West Bengal,0.00,0.00,0.00,0.00,0.00,0.00,0.17
Andaman and Nicobar Islands,1.00,1.00,1.00,0.33,0.67,1.00,0.50
Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dadra and Nagar Haveli and Dama,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Delhi,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jammu and Kashmir,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ladakh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Puducherry,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Overall,0.00,0.00,0.00,0.01,0.01,0.00,0.01
