States,Gemma 2 2B Instruct,Gemma 2 9B Instruct,Llama 2 7B Chat,Llama 3.1 8B Instruct,Llama 3.2 1B Instruct,Llama 3.2 3B Instruct,Mistral 7BInstruct v0.3
Andhra Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Assam,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bihar,0.00,0.00,0.08,0.00,0.00,0.00,0.00
Chhattisgarh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Goa,0.00,0.09,0.00,0.00,0.00,0.00,0.00
Gujarat,0.00,0.00,0.08,0.00,0.00,0.00,0.33
Haryana,0.15,0.18,0.08,0.25,0.00,0.11,0.33
Himachal Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jharkhand,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Karnataka,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kerala,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Madhya Pradesh,0.08,0.09,0.15,0.00,0.00,0.11,0.00
Maharashtra,0.00,0.09,0.08,0.12,0.00,0.11,0.33
Manipur,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Meghalaya,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mizoram,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nagaland,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Odisha,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Punjab,0.15,0.09,0.08,0.12,0.00,0.11,0.00
Rajasthan,0.08,0.09,0.00,0.12,0.00,0.00,0.00
Sikkim,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tamil Nadu,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Telangana,0.08,0.09,0.15,0.00,0.00,0.11,0.00
Tripura,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uttarakhand,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uttar Pradesh,0.15,0.09,0.15,0.12,0.00,0.11,0.00
West Bengal,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andaman and Nicobar Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chandigarh,0.15,0.09,0.08,0.12,0.00,0.11,0.00
Dadra and Nagar Haveli and Dama,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Delhi,0.15,0.09,0.08,0.12,0.00,0.22,0.00
Jammu and Kashmir,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ladakh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Puducherry,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Overall,0.04,0.03,0.04,0.02,0.00,0.03,0.01
